# 16 機殼風扇｜機殼配件  (報價日期 2026/9/19 15:41)
# price	id	flags	name

## 機殼風扇 超值推薦
299	63		｛MONTECH RX120 PRO 黑｝反向扇/A.RGB/1600RPM/PWM/三年保
299	64		｛MONTECH RX120 PRO 白｝反向扇/A.RGB/1600RPM/PWM/三年保
490	65		｛MONTECH AX140 PWM 黑｝風扇/A.RGB/1600RPM/HDB軸/三年保
520	66		｛MONTECH AX140 PWM 白｝風扇/A.RGB/1600RPM/HDB軸/三年保
490	67		｛MONTECH RX140 PWM 黑｝反向扇/A.RGB/1600RPM/HDB軸/三年保
520	68		｛MONTECH RX140 PWM 白｝反向扇/A.RGB/1600RPM/HDB軸/三年保
330	69		｛MONTECH E28 ARGB 黑 12cm 風扇｝2000RPM/FDB軸/厚28mm/PWM/三年保
790	70		｛MONTECH E28 ARGB 黑 12cm 三顆裝｝附集線器/2000RPM/厚28mm/PWM/三年保
330	71		｛MONTECH E28 ARGB 白 12cm 風扇｝2000RPM/FDB軸/厚28mm/PWM/三年保
790	72		｛MONTECH E28 ARGB 白 12cm 三顆裝｝附集線器/2000RPM/厚28mm/PWM/三年保

## 美洲獅 COUGAR 風扇
990	74		｛COUGAR Unity 240 ARGB 黑(正向)｝一體式風扇/側邊燈效/2500RPM/PWM/三年保
990	75		｛COUGAR Unity 240 ARGB 白(正向)｝一體式風扇/側邊燈效/2500RPM/PWM/三年保
990	76		｛COUGAR Unity 240 ARGB 黑(反向)｝一體式風扇/側邊燈效/1600RPM/PWM/三年保
990	77		｛COUGAR Unity 240 ARGB 白(反向)｝一體式風扇/側邊燈效/1600RPM/PWM/三年保
1190	78		｛COUGAR Unity 360 ARGB 黑(正向)｝一體式風扇/側邊燈效/2500RPM/PWM/三年保
1190	79		｛COUGAR Unity 360 ARGB 白(正向)｝一體式風扇/側邊燈效/2500RPM/PWM/三年保
1190	80		｛COUGAR Unity 360 ARGB 黑(反向)｝一體式風扇/側邊燈效/1600RPM/PWM/三年保
1190	81		｛COUGAR Unity 360 ARGB 白(反向)｝一體式風扇/側邊燈效/1600RPM/PWM/三年保

## 振華 Super Flower 風扇
95	83		｛振華 冰渦輪 12cm｝DC直流散熱風扇/小3Pin/附轉接大4pin【超高CP值!】
790	84		｛振華 MEGACOOL 12cm 效能扇｝3段速遙控/雙滾珠/三相12極馬達/LCP塑料/厚30/6年
2290	85		｛振華 MEGACOOL 12cm 雙向扇｝三顆裝/遙控切換轉速+正反向/LCP塑料/厚30mm/6年
259	86		｛振華 AURACOOL 120 黑(正向) 風扇｝12cm/無限鏡/1800RPM/PWM/兩年保
259	87		｛振華 AURACOOL 120 白(正向) 風扇｝12cm/無限鏡/1800RPM/PWM/兩年保
599	88		｛振華 AURACOOL 240 黑(正向) 一體式風扇｝全幅式無限鏡/1800RPM/PWM/兩年保
599	89		｛振華 AURACOOL 240 黑(反向) 一體式風扇｝全幅式無限鏡/1800RPM/PWM/兩年保
599	90		｛振華 AURACOOL 240 白(反向) 一體式風扇｝全幅式無限鏡/1800RPM/PWM/兩年保
799	91		｛振華 AURACOOL 360 黑(正向) 一體式風扇｝全幅式無限鏡/1800RPM/PWM/兩年保
799	92		｛振華 AURACOOL 360 黑(反向) 一體式風扇｝全幅式無限鏡/1800RPM/PWM/兩年保
799	93		｛振華 AURACOOL 360 白(反向) 一體式風扇｝全幅式無限鏡/1800RPM/PWM/兩年保

## 威剛 XPG 風扇
690	95		｛威剛 XPG VENTO PRO 120 PWM｝風扇/日產(溫柔颱風)/雙滾珠軸承/2150RPM/五年保
1380	96	熱賣	威剛 XPG VENTO PRO 120 PWM 風扇 /日本電產(溫柔颱風) 買二送一(共三個)
390	97		｛威剛 XPG VENTO 120 ARGB(黑) 風扇 單顆裝｝1850RPM/PWM可串接/二年保
990	98		｛威剛 XPG VENTO 120 ARGB(黑) 風扇 三顆裝｝1850RPM/PWM可串接/二年保
390	99		｛威剛 XPG VENTO 120 ARGB(白) 風扇 單顆裝｝1850RPM/PWM可串接/二年保
990	100		｛威剛 XPG VENTO 120 ARGB(白) 風扇 三顆裝｝1850RPM/PWM可串接/二年保
990	101		｛威剛 XPG VENTO R 120 ARGB(黑) 反向扇 三顆裝｝1600RPM/PWM可串接/二年保
